text,label_id
"Thành hồ và thành hà, thành nào cũng bị ô nhiễm không khí độc hại rất nguy hiểm ! Có lẽ ông trời ổng trừng phạt bọn Việt cộng gian ác, gian tà, gian dối, gian dâm, đã nghèo đói mà còn bày đặt ""giải phóng Miền Nam"" !",2
Nga Nguyễn xem ròi à,0
Ức hiếp dân thì giỏi lắm!,1
Biết thế thì im cmm mồm đi. Lại còn đòi dân chủ hóa. Đm thg tàu nó mà bóp thì chỉ có chết. Biết điều nó còn tha cho. Bật nó hỏi xem có thg dân chủ nào ở cạnh mà cầu cứu k. Toàn mấy thg xàm,2
"Đặng Bảo tào lao, nhạc trước giờ cũng jack nó sáng tác chứ có cái đb mà liên quan kicm, bài hồng nhan trước đó chắc có cứt tên kicm trong đó",2
Thay vì ở đây xàm lol,1
ông già hay xaolon phết Tùng sói said :)),2
Sam Sam haha,0
Mac ia qua,1
a xi đăng là qq gi vậy bà con,1
Cứ tính ngìn tỷ đkm sợ thật,1
Ý thức cộng đồng đ có thì ac sống làm chi z trời🥴,1
Đẹp mà ý thức như cc thì vứt 😁😁😁,1
Tin tức như cc,1
"Thằng ad ""phản động"" chỉ giỏi ""xuyên tạc đường nối chính sách của đãng và nhà lước, bôi nhọ các anh hùng nực nượng vũ trang nhân dân"". Hết đặt mìn xe đò thì đặt mìn bưu điện, ném lựu đạn vào chợ vào rạp hát, pháo kích vào nhà dân vào trường học ko phải là khủng bố khủng mẹ gì hết, phải gọi là ""đi nàm kách mệnh"" mới đúng.",2
Giờ tao thấy hối hận khi vừa nc với 1 con bò,1
Dạo này nó cho truyền thông nhiều tiền nên im hẳn khá lâu,1
"Đúng rồi, toàn bọn rẻ rách, cặn bã, ăn cơm ăn cức của Việt Nam mà mở mồm ra là chửi sằn bậy !!!",2
ddjtme giống 100% như đúc người 🤣🤣,1
ThanhHuy Nguyen vcl,1
chuẩn bị đấu tố kiểu búa liềm,2
"Tâm thần cho nghỉ việc ,không đề ảnh hưởng đến ngành CA!",0
Cho em liếm lỗ nhị Thầy,2
nhớ giữ mồm giữ miệng chứ trong tù là hay bị mắc bệnh lạ lắm đấy,1
Mai Vy Trang mô. ???,0
"Phí vai lin ra, thgian bố đợi có khi tán đổ con khác mẹ roii =))",1
Tộc trưởng nói nghe xàm cặc. nhưng em thích =))),2
Nổ quá bà cụ ơi,2
Mặt hàng này còn không:)),0
Thứ ngu như m nói chuyện mất tg...đi học lại lớp mẫu giáo đi,2
Huy Quang Nguyễn chuẩn bị đi học chưa bạn tôi ??,0
Tui nghĩ con má đó nếu có hết bệnh thì nó cx phải xứng đáng là nhận án tử hình,2
Nhin vao tai san cua cac bac la biet ket qua,0
Bắt trend nè 😊😊,0
Phan Xích Long b eyyy 😛😛,0
Nhà Linh cá lóc ở Hậu Giang sao Chị đi Sài Gòn làm gì ở trên,0
Cố lên Việt Nam!,0
Vòng tiền xoay vòng lo nhìu mặt khác của xã hội chứ đâu lo cho mỗi bạn. Vd tiền xây biệt phủ tiền cho con đi du học...,1
Link đâu add?,0
"cảm giác \"" chênh vênh\"" 😔",0
Thứ bóng dơ,1
Anh Độ đã có công lớn trong việc giúp nông dân cày đất cho tơi lên bằng AK :)),0
Sờ chim a ơu,1
