sample_id,case_type,expected_behavior,predicted_label,confidence,risk_score,risk_level,moderation_action,analysis_tags,original_text,normalized_text,toxic_span_texts
ex001,clean,allow,CLEAN,0.9900763630867004,0.19863468086346983,low,allow,ok,"Bạn nói chuyện rất dễ thương, cảm ơn nhé.","Bạn nói chuyện rất dễ thương, cảm ơn nhé.",
ex002,clean,allow,CLEAN,0.9899222254753113,0.19860700907185674,low,allow,ok,Mình không đồng ý với quan điểm này nhưng vẫn tôn trọng bạn.,Mình không đồng ý với quan điểm này nhưng vẫn tôn trọng bạn.,
ex003,clean,allow,CLEAN,0.9909141063690186,0.19868633087724447,low,allow,ok,Bài viết này cần thêm bằng chứng chứ đừng kết luận vội.,Bài viết này cần thêm bằng chứng chứ đừng kết luận vội.,
ex004,clean,allow,CLEAN,0.9879520535469055,0.19818248324096202,low,allow,ok,Tôi thấy cách diễn đạt hơi khó hiểu.,Tôi thấy cách diễn đạt hơi khó hiểu.,
ex005,clean,allow,CLEAN,0.9906062483787537,0.19868862269446255,low,allow,ok,Cảm ơn bạn đã chia sẻ thông tin.,Cảm ơn bạn đã chia sẻ thông tin.,
ex006,clean,allow,CLEAN,0.989702582359314,0.19856403736397626,low,allow,ok,"Cái này sai rồi, bạn kiểm tra lại giúp mình.","Cái này sai rồi, bạn kiểm tra lại giúp mình.",
ex007,offensive,warn_or_review,HATE,0.9911817312240601,1.0,critical,block_or_escalate,high_risk_without_span,Mày nói chuyện ngu thật.,Mày nói chuyện ngu thật.,
ex008,offensive,warn_or_review,HATE,0.985678493976593,1.0,critical,block_or_escalate,high_risk_without_span,"Đồ ngu, đọc lại đi rồi hãy nói.","Đồ ngu, đọc lại đi rồi hãy nói.",
ex009,offensive,warn_or_review,CLEAN,0.9906863570213318,0.19869756327942015,low,allow,possible_under_moderation,"Cút đi, đừng bình luận nữa.","Cút đi, đừng bình luận nữa.",
ex010,offensive,warn_or_review,OFFENSIVE,0.7690848708152771,0.6518054711818695,high,send_to_review,high_risk_without_span,Nói chuyện mất dạy quá.,Nói chuyện mất dạy quá.,
ex011,offensive,warn_or_review,OFFENSIVE,0.9327934980392456,0.6747606234252452,high,send_to_review,high_risk_without_span,"Bớt xàm đi, nghe mệt thật sự.","Bớt xàm đi, nghe mệt thật sự.",
ex012,offensive,warn_or_review,OFFENSIVE,0.4119744896888733,0.5937644076347351,medium,warn_user,uncertain_prediction,Đừng có làm trò rác rưởi ở đây.,Đừng có làm trò rác rưởi ở đây.,
ex013,offensive,warn_or_review,HATE,0.9918752312660217,1.0,critical,block_or_escalate,high_risk_without_span,Mày đúng là đồ điên.,Mày đúng là đồ điên.,
ex014,offensive,warn_or_review,OFFENSIVE,0.9379597902297974,0.6791894829273224,high,send_to_review,high_risk_without_span,Cái kiểu nói chuyện này thật khốn.,Cái kiểu nói chuyện này thật khốn.,
ex015,offensive,warn_or_review,CLEAN,0.7677726745605469,0.17072141751646996,low,allow,possible_under_moderation,Tao không muốn nghe mày nói nữa.,Tao không muốn nghe mày nói nữa.,
ex016,abusive,block_or_escalate,HATE,0.9724221229553223,1.0,critical,block_or_escalate,high_risk_without_span,"Đồ chó chết, biến đi.","Đồ chó chết, biến đi.",
ex017,abusive,block_or_escalate,HATE,0.9900233149528503,1.0,critical,block_or_escalate,high_risk_without_span,Mày là thứ rác rưởi.,Mày là thứ rác rưởi.,
ex018,abusive,block_or_escalate,OFFENSIVE,0.8629159927368164,0.6665531897544861,high,send_to_review,high_risk_without_span,Đúng là súc vật mới nói vậy.,Đúng là súc vật mới nói vậy.,
ex019,abusive,block_or_escalate,HATE,0.6905513405799866,0.9552864897251129,critical,block_or_escalate,high_risk_without_span,"Nói vậy mà cũng nói được, óc chó thật.","Nói vậy mà cũng nói được, óc chó thật.",
ex020,abusive,block_or_escalate,HATE,0.9611201882362366,1.0,critical,block_or_escalate,high_risk_without_span,"Đừng xuất hiện ở đây nữa, đồ khốn.","Đừng xuất hiện ở đây nữa, đồ khốn.",
ex021,no_accent,normalize_then_flag,HATE,0.5147529244422913,0.903256264925003,critical,block_or_escalate,"uncertain_prediction, high_risk_without_span",may noi chuyen ngu that,may noi chuyen ngu that,
ex022,no_accent,normalize_then_flag,OFFENSIVE,0.5170276761054993,0.599335777759552,medium,warn_user,uncertain_prediction,do ngu doc lai di,do ngu doc lai di,
ex023,no_accent,normalize_then_flag,HATE,0.814952552318573,0.9842710095643997,critical,block_or_escalate,high_risk_without_span,cut di dung binh luan nua,cut di dung binh luan nua,
ex024,no_accent,normalize_then_flag,OFFENSIVE,0.3733801543712616,0.5925149047374726,medium,warn_user,uncertain_prediction,noi chuyen mat day qua,noi chuyen mat day qua,
ex025,no_accent_clean,allow,CLEAN,0.9899588227272034,0.19858862800523638,low,allow,ok,bai viet nay rat hay cam on ban,bai viet nay rat hay cam on ban,
ex026,repeated_char,normalize_then_flag,HATE,0.8964399695396423,1.0,critical,block_or_escalate,"high_risk_without_span, normalization_changed_text",mày nguuuuu vl,mày nguu vãi,
ex027,repeated_char,normalize_then_flag,HATE,0.9062492251396179,1.0,critical,block_or_escalate,"high_risk_without_span, normalization_changed_text",đồ chóooo chết,đồ chóoo chết,
ex028,repeated_char,normalize_then_flag,OFFENSIVE,0.896755039691925,0.6983585169911385,high,send_to_review,"high_risk_without_span, normalization_changed_text",cútttt đi,cútt đi,
ex029,repeated_char_clean,allow,CLEAN,0.990780770778656,0.19871245766058565,low,allow,normalization_changed_text,bạn dễ thương quáaaa,bạn dễ thương quáaa,
ex030,special_mask,normalize_then_flag,HATE,0.9890344142913818,1.0,critical,block_or_escalate,"high_risk_without_span, normalization_changed_text",m.à.y n*g*u vl,mày ngu vãi,
ex031,special_mask,normalize_then_flag,OFFENSIVE,0.636730432510376,0.6608324790000916,high,send_to_review,"high_risk_without_span, normalization_changed_text",đ.ồ ch.ó ch.ết,đồ chó chết,
ex032,special_mask,normalize_then_flag,OFFENSIVE,0.9770959615707397,0.7157299647480251,high,send_to_review,"high_risk_without_span, normalization_changed_text",c_u_t đi,cut đi,
ex033,special_mask_clean,allow,CLEAN,0.9903873801231384,0.1986667949706316,low,allow,normalization_changed_text,bạn nói rất h.a.y,bạn nói rất hay,
ex034,teencode,allow_or_warn,CLEAN,0.9864611029624939,0.19794525409117342,low,allow,normalization_changed_text,ko thích cái kiểu nói chuyện này,không thích cái kiểu nói chuyện này,
ex035,teencode,warn_or_review,HATE,0.6644877195358276,0.9784909105300903,critical,block_or_escalate,"high_risk_without_span, normalization_changed_text",m nói ngu vl,m nói ngu vãi,
ex036,teencode_clean,allow,CLEAN,0.9908362627029419,0.1987190672568977,low,allow,ok,t thấy bạn hơi quá lời,t thấy bạn hơi quá lời,
ex037,mixed_noise,normalize_then_flag,OFFENSIVE,0.7827036380767822,0.6792399370670319,high,send_to_review,"high_risk_without_span, normalization_changed_text",may nguuuu vl do cho,may nguu vãi do cho,
ex038,mixed_noise,normalize_then_flag,OFFENSIVE,0.8169765472412109,0.6889583921432496,high,send_to_review,"high_risk_without_span, normalization_changed_text",d.o n.g.u c.ut di,do ngu cut di,
ex039,mixed_noise_clean,allow,HATE,0.43716317415237427,0.9283290708065033,critical,block_or_escalate,"uncertain_prediction, high_risk_without_span, normalization_changed_text, possible_over_moderation",ko co gi dau ban noi tiep di,không co gi dau ban noi tiep di,
ex040,ambiguous,review_if_uncertain,CLEAN,0.9744725823402405,0.1967133572511375,low,allow,requires_human_judgment,"Bạn giỏi quá ha, nói câu nào cũng sai.","Bạn giỏi quá ha, nói câu nào cũng sai.",
