model_name,train_setting,noise_type,eval_text_variant,text,y_true,y_pred,true_label,pred_label
svm_saved_baseline,original_artifact,clean,before_norm,Đừng cố biện minh =)))) choi lon,0,2,CLEAN,HATE
svm_saved_baseline,original_artifact,clean,before_norm,Haizz. Nthe này thì dân khổ quá,1,0,OFFENSIVE,CLEAN
svm_saved_baseline,original_artifact,clean,before_norm,the nay ma chi phat gay roi trat tu cong cong thoi a dung la dan minh,0,2,CLEAN,HATE
svm_saved_baseline,original_artifact,clean,before_norm,coin card :3,1,0,OFFENSIVE,CLEAN
svm_saved_baseline,original_artifact,clean,before_norm,"Lý khùng thì có,kk",0,1,CLEAN,OFFENSIVE
svm_saved_baseline,original_artifact,clean,before_norm,"Đề nghị 17, 22,23,32 đến phà vài hơi vào mẹt tk này để nó đi cách ly thế giới hẳn đi.",2,0,HATE,CLEAN
svm_saved_baseline,original_artifact,clean,before_norm,"Nhà Xa trường học, nhà gần cầu tiêu câu nói đã gắn sâu vào đầu tao :)))))",0,2,CLEAN,HATE
svm_saved_baseline,original_artifact,clean,before_norm,Phét,0,2,CLEAN,HATE
svm_saved_baseline,original_artifact,clean,before_norm,"Chi bà nhiều tiền thì đi làm từ thiện,còn ơ đó nói tục tiểu, giơ bẩn. Làm nhục người vn trên thế giới. Làm bai hoại nền văn hóa vn. Xin yêu các cấp có thẩm quyền vào cuộc sử lý.",0,2,CLEAN,HATE
svm_saved_baseline,original_artifact,clean,before_norm,Một phút bóc đồng bằng cả đời bóc cức 😂,1,2,OFFENSIVE,HATE
svm_saved_baseline,original_artifact,clean,before_norm,Bà này nói đúng mà bà đó đi làm o sin gửi tiền đô về Việt Nam hưởng chứ tiền Việt Nam lam gì có giá trị tuy bà nói chuyện thô lỗ tí nhưng mà bà nói đúng mà...,0,2,CLEAN,HATE
svm_saved_baseline,original_artifact,clean,before_norm,Gần đất xa trời rồi nói ít thôi,0,2,CLEAN,HATE
svm_saved_baseline,original_artifact,clean,before_norm,bán hàng rẻ ko thơm lâu thì nói không thơm lâu . nói hàng fake . mắc j quảng bá làm như tốt lắm .,0,1,CLEAN,OFFENSIVE
svm_saved_baseline,original_artifact,clean,before_norm,Nhìn mặt bà này ...,0,2,CLEAN,HATE
svm_saved_baseline,original_artifact,clean,before_norm,Nghĩ mà chán :)),0,1,CLEAN,OFFENSIVE
svm_saved_baseline,original_artifact,clean,before_norm,Đem ra bắn ngay cái thể loại ấy,2,0,HATE,CLEAN
svm_saved_baseline,original_artifact,clean,before_norm,Lờ ô lờ ôn lờ ôn lôn huyền CHIM:)),0,1,CLEAN,OFFENSIVE
svm_saved_baseline,original_artifact,clean,before_norm,Con bóng??,0,2,CLEAN,HATE
svm_saved_baseline,original_artifact,clean,before_norm,Bàn tay em đẹp quá. Nhìn chị là đàn bà mà xấu quá..,2,0,HATE,CLEAN
svm_saved_baseline,original_artifact,clean,before_norm,Cái mặt con bò biểu cảm vãi haha.... đhs tự nhiên thèm thịt bò khô,1,0,OFFENSIVE,CLEAN
svm_saved_baseline,original_artifact,clean,before_norm,Lại thêm một con khoác lác,0,2,CLEAN,HATE
svm_saved_baseline,original_artifact,clean,before_norm,Like 10 năm chất Liek bằng đầu bùi,1,0,OFFENSIVE,CLEAN
svm_saved_baseline,original_artifact,clean,before_norm,Nhức óc thật,0,1,CLEAN,OFFENSIVE
svm_saved_baseline,original_artifact,clean,before_norm,Không có csgt nào tốt cả .,2,0,HATE,CLEAN
svm_saved_baseline,original_artifact,clean,before_norm,Một u nhọt quá lớn thì cần phải cắt bỏ nó đi chứ ko nên điều trị bằng thuốc tiếp tiền mất tật vẫn mang!!,0,2,CLEAN,HATE
svm_saved_baseline,original_artifact,clean,before_norm,Nguyễn Hoàng Sâm nôn link ra,0,2,CLEAN,HATE
svm_saved_baseline,original_artifact,clean,before_norm,Lũlên mạng lừa đão,2,0,HATE,CLEAN
svm_saved_baseline,original_artifact,clean,before_norm,"trung quốc sản sinh ra 1 thế hệ bác sỹ thật sự có tâm đức, dù truyền thông phương tây có bôi nhọ tnao thì cũng k thể phủ nhận",0,2,CLEAN,HATE
svm_saved_baseline,original_artifact,clean,before_norm,Đậu rồi má hay đậu má rồi các bạn nhỏ ??? :))),1,0,OFFENSIVE,CLEAN
svm_saved_baseline,original_artifact,clean,before_norm,GAM thua cái củ cặc nhé !!,1,2,OFFENSIVE,HATE
svm_saved_baseline,original_artifact,clean,before_norm,K có nghìn nào giúp dân thì nín đi!,2,0,HATE,CLEAN
svm_saved_baseline,original_artifact,clean,before_norm,Bỏ măy con điếm đấy đi là thông minh đấy,2,1,HATE,OFFENSIVE
svm_saved_baseline,original_artifact,clean,before_norm,Ko xin nó thì đái ra mà hết hạn hán nhé,2,0,HATE,CLEAN
svm_saved_baseline,original_artifact,clean,before_norm,Nguc em hoi nho,1,0,OFFENSIVE,CLEAN
svm_saved_baseline,original_artifact,clean,before_norm,200.000 hộp thuốc giết người.,1,0,OFFENSIVE,CLEAN
svm_saved_baseline,original_artifact,clean,before_norm,Cái mặt là nhìn dell ưa nổi với bị nứng lâu năm,2,1,HATE,OFFENSIVE
svm_saved_baseline,original_artifact,clean,before_norm,CÓ THẰNG THÔNG THẠO 29 THỨ TIẾNG LÀM CHỦ TỊCH PẮC PÓ,2,0,HATE,CLEAN
svm_saved_baseline,original_artifact,clean,before_norm,Ngoài mình kêu con này là cua xanh tên khác là cua chó bởi vì nó dữ lắm,0,2,CLEAN,HATE
svm_saved_baseline,original_artifact,clean,before_norm,Cái mỏ i chang cá lóc lun,0,2,CLEAN,HATE
svm_saved_baseline,original_artifact,clean,before_norm,Sạo loxz quền của chị 3,2,0,HATE,CLEAN
