sample_id,text,true_label_id,true_label,svm_pred_id,svm_pred_label,svm_source,bilstm_pred_id,bilstm_pred_label,prob_clean,prob_offensive,prob_hate,svm_correct,bilstm_correct,comparison_group,text_len_chars,text_len_tokens,bilstm_oov_rate,toxic_keyword_count
0,Đừng cố biện minh =)))) choi lon,0,CLEAN,2,HATE,loaded_artifact,0,CLEAN,0.46064889430999756,0.2676660716533661,0.27168500423431396,False,True,bilstm_right_svm_wrong,32,11,0.0,2
1,Haizz. Nthe này thì dân khổ quá,1,OFFENSIVE,1,OFFENSIVE,loaded_artifact,1,OFFENSIVE,0.16394852101802826,0.8246439099311829,0.011407565325498581,True,True,both_right,31,8,0.125,1
2,the nay ma chi phat gay roi trat tu cong cong thoi a dung la dan minh,0,CLEAN,0,CLEAN,loaded_artifact,0,CLEAN,0.8946309089660645,0.0006520251627080142,0.10471700131893158,True,True,both_right,69,17,0.058823529411764705,3
3,Mua cho em hộp bcs mĩ sài cho oai :)),0,CLEAN,0,CLEAN,loaded_artifact,0,CLEAN,0.9996002316474915,0.00011883174011018127,0.0002809450961649418,True,True,both_right,37,12,0.0,3
4,coin card :3,1,OFFENSIVE,0,CLEAN,loaded_artifact,0,CLEAN,0.9987119436264038,1.460610656067729e-05,0.0012734541669487953,False,False,both_wrong,12,4,0.25,0
5,K có điểm dừng luôn hả trời ☹️☹️☹️,0,CLEAN,0,CLEAN,loaded_artifact,0,CLEAN,0.9999974966049194,7.485699029530224e-07,1.8004416233452503e-06,True,True,both_right,34,13,0.0,0
6,cái gì thế :)),0,CLEAN,0,CLEAN,loaded_artifact,0,CLEAN,0.920467734336853,0.07583758980035782,0.00369463674724102,True,True,both_right,14,6,0.0,1
7,Chi ba Chui hay qua,0,CLEAN,0,CLEAN,loaded_artifact,0,CLEAN,0.9998059868812561,1.1125768651254475e-05,0.0001829733228078112,True,True,both_right,19,5,0.0,2
8,Lê Văn Quật xin vid ông,0,CLEAN,0,CLEAN,loaded_artifact,0,CLEAN,0.999995231628418,4.485224053496495e-06,2.128091409758781e-07,True,True,both_right,23,6,0.0,1
9,"Lý khùng thì có,kk",0,CLEAN,1,OFFENSIVE,loaded_artifact,1,OFFENSIVE,0.08572336286306381,0.9138672947883606,0.00040936964796856046,False,False,both_wrong,18,6,0.0,1
10,À thì ra người Nhật cũng chẳng hợn Võ Hồng Tâm,0,CLEAN,0,CLEAN,loaded_artifact,1,OFFENSIVE,0.023063944652676582,0.9768199324607849,0.00011619596625678241,True,False,svm_right_bilstm_wrong,46,11,0.09090909090909091,1
11,Thầy trêu ổng cho lắm vào bị thế là đúng r,0,CLEAN,0,CLEAN,loaded_artifact,0,CLEAN,0.9714959263801575,0.00010689521877793595,0.02839718759059906,True,True,both_right,42,11,0.0,2
12,Ôi tuổi thơ,0,CLEAN,0,CLEAN,loaded_artifact,0,CLEAN,0.9990482926368713,0.0008266622317023575,0.0001250496570719406,True,True,both_right,11,3,0.0,1
13,hang luc nao cung phai chuan nhu hom nay giao toi day nhe,0,CLEAN,0,CLEAN,loaded_artifact,0,CLEAN,0.5959593653678894,0.003217939520254731,0.40082263946533203,True,True,both_right,57,13,0.0,2
14,Lee Shung Liem yep yep. ngay chỗ e,0,CLEAN,0,CLEAN,loaded_artifact,0,CLEAN,0.9683734774589539,0.028974106535315514,0.0026523892302066088,True,True,both_right,34,9,0.2222222222222222,1
15,set đồ để các vận động viên ăn tết sau vff quản lý tiền thưởng,0,CLEAN,0,CLEAN,loaded_artifact,0,CLEAN,0.9456265568733215,0.0019212475745007396,0.05245225504040718,True,True,both_right,62,15,0.06666666666666667,3
16,Thay Ngu,2,HATE,2,HATE,loaded_artifact,2,HATE,0.0014522320125252008,0.0026961106341332197,0.9958516359329224,True,True,both_right,8,2,0.0,2
17,Đc đấy abe,0,CLEAN,0,CLEAN,loaded_artifact,0,CLEAN,0.9984877109527588,5.3201809350866824e-05,0.0014590919017791748,True,True,both_right,10,3,0.0,0
18,Hóng phần 2 của hài hải ngoại của anh Ba tại Lasvegas,0,CLEAN,0,CLEAN,loaded_artifact,0,CLEAN,0.99964439868927,1.4830679901933763e-05,0.0003408199700061232,True,True,both_right,53,12,0.08333333333333333,2
19,Sét đánh chết tao đi,0,CLEAN,0,CLEAN,loaded_artifact,0,CLEAN,0.7484185099601746,0.22086142003536224,0.030720045790076256,True,True,both_right,20,5,0.2,3
20,Amen ông vẫn khỏe Idol của tui,0,CLEAN,0,CLEAN,loaded_artifact,0,CLEAN,0.9999996423721313,2.1184379761507444e-07,1.783821801382146e-07,True,True,both_right,30,7,0.0,2
21,Chị ba gia thế giàu chị ơi em khổ quá chị ba ơi giúp cho em đi chị Sài tiền mà tiệm vàng Sài không bằng chị,0,CLEAN,0,CLEAN,loaded_artifact,0,CLEAN,0.9833483099937439,4.058756894664839e-05,0.016611134633421898,True,True,both_right,107,27,0.0,5
22,(Y) page này ad nó kiến thức uyên sâu lắm từ xây dựng tài chính y tế cái j n cũng am hiểu =)))) ngu dốt + nhiệt tình = phá hoại k sai bh,2,HATE,2,HATE,loaded_artifact,0,CLEAN,0.627221941947937,0.0011885531712323427,0.3715895414352417,True,False,svm_right_bilstm_wrong,136,41,0.0,10
23,"Đề nghị 17, 22,23,32 đến phà vài hơi vào mẹt tk này để nó đi cách ly thế giới hẳn đi.",2,HATE,0,CLEAN,loaded_artifact,0,CLEAN,0.7835102081298828,0.1824919581413269,0.033997852355241776,False,False,both_wrong,85,27,0.07407407407407407,4
24,"Nhà Xa trường học, nhà gần cầu tiêu câu nói đã gắn sâu vào đầu tao :)))))",0,CLEAN,2,HATE,loaded_artifact,2,HATE,0.07006165385246277,0.002627570880576968,0.9273108839988708,False,False,both_wrong,73,23,0.0,3
25,A kể chuyện n lại hay vl 😂,0,CLEAN,0,CLEAN,loaded_artifact,0,CLEAN,0.8403991460800171,0.1595124751329422,8.834646723698825e-05,True,True,both_right,26,8,0.0,1
26,Hoàng Yến fan cứng độ mixi thì đi ăn lẩu phan thôi =)))))))))))),0,CLEAN,0,CLEAN,loaded_artifact,0,CLEAN,0.9998816251754761,2.41760972130578e-05,9.422085713595152e-05,True,True,both_right,64,25,0.0,1
27,From Bình Phước <3,0,CLEAN,0,CLEAN,loaded_artifact,0,CLEAN,0.9999314546585083,2.5109264356615313e-07,6.831208156654611e-05,True,True,both_right,18,5,0.0,0
28,Mong thầy chỉ đóng mv thôi :v,0,CLEAN,0,CLEAN,loaded_artifact,0,CLEAN,0.9999939203262329,2.1778213010748004e-07,5.867075287824264e-06,True,True,both_right,29,8,0.0,1
29,Tấu hài 😂😂,0,CLEAN,0,CLEAN,loaded_artifact,0,CLEAN,0.9999818801879883,1.4486920008494053e-05,3.602209517339361e-06,True,True,both_right,10,4,0.0,1
30,@Anh Nguyen Tuan Đúng rồi hihi,0,CLEAN,0,CLEAN,loaded_artifact,0,CLEAN,0.9999992847442627,1.8396420387034595e-07,4.2162221802755084e-07,True,True,both_right,30,7,0.0,3
31,Doi truong cao bang,0,CLEAN,0,CLEAN,loaded_artifact,0,CLEAN,0.999997615814209,1.8763601019600173e-06,4.728083524696558e-07,True,True,both_right,19,4,0.0,1
32,Trần Linh dell hiểu kiểu gì :)),1,OFFENSIVE,1,OFFENSIVE,loaded_artifact,0,CLEAN,0.8399186134338379,0.013347906991839409,0.14673347771167755,True,False,svm_right_bilstm_wrong,31,9,0.0,2
33,Alex Dương thiệt luôn 😤,0,CLEAN,0,CLEAN,loaded_artifact,0,CLEAN,0.5485445261001587,0.44871631264686584,0.00273915845900774,True,True,both_right,23,5,0.2,0
34,"K nói thì tự kiêu,nói thì lại tự ái chứ í thức thế ai mà chịu nổi😡",1,OFFENSIVE,1,OFFENSIVE,loaded_artifact,1,OFFENSIVE,0.0027906291652470827,0.9969757795333862,0.0002335507597308606,True,True,both_right,66,20,0.0,6
35,Chán thực sự =))),0,CLEAN,0,CLEAN,loaded_artifact,0,CLEAN,0.9987797141075134,0.0011160043068230152,0.0001043228039634414,True,True,both_right,17,7,0.0,1
36,Lê Khánh An kệ ng ta việc nhà mik là giữ top🙂,0,CLEAN,0,CLEAN,loaded_artifact,0,CLEAN,0.9988248944282532,4.565871859085746e-05,0.0011294408468529582,True,True,both_right,45,13,0.0,0
37,"Cô nói chuyện tự nhiên, dễ thuơng xem thích ghê",0,CLEAN,0,CLEAN,loaded_artifact,0,CLEAN,0.9978154897689819,1.5079190234246198e-05,0.0021693771705031395,True,True,both_right,47,11,0.09090909090909091,3
38,Hanh Viet hết cái bọn cực kì thuyết phục bây giờ lại đến bọn : “ Ở nhà giúp mẹ giúp cha.... “ Xàm lol như nhau cả thôi,2,HATE,2,HATE,loaded_artifact,1,OFFENSIVE,0.0026600135024636984,0.7288274765014648,0.2685125470161438,True,False,svm_right_bilstm_wrong,118,33,0.0,8
39,yêu thầyyyy nhiềuuuu,0,CLEAN,0,CLEAN,loaded_artifact,0,CLEAN,0.9988875985145569,0.0009625951643101871,0.00014973983343224972,True,True,both_right,20,3,0.3333333333333333,0
40,Sói said: “ Daddy finger Where are you?” “Here i am! “ =)),0,CLEAN,0,CLEAN,loaded_artifact,0,CLEAN,0.9986814856529236,0.0003097766893915832,0.0010087458649650216,True,True,both_right,58,20,0.1,1
41,best cà khịa,0,CLEAN,0,CLEAN,loaded_artifact,1,OFFENSIVE,0.12493003159761429,0.870698869228363,0.004371114540845156,True,False,svm_right_bilstm_wrong,12,3,0.0,1
42,Nguyễn Thị Thủy chó con chứ dúi đâu ra,0,CLEAN,0,CLEAN,loaded_artifact,1,OFFENSIVE,0.19798198342323303,0.7122445106506348,0.08977353572845459,True,False,svm_right_bilstm_wrong,38,9,0.0,4
43,Phét,0,CLEAN,2,HATE,loaded_artifact,0,CLEAN,0.78934645652771,0.008637085556983948,0.20201639831066132,False,True,bilstm_right_svm_wrong,4,1,0.0,0
44,Buồn cười,0,CLEAN,0,CLEAN,loaded_artifact,0,CLEAN,0.9852273464202881,0.007411422207951546,0.007361169438809156,True,True,both_right,9,2,0.0,1
45,Giống:v,0,CLEAN,0,CLEAN,loaded_artifact,0,CLEAN,0.9999148845672607,7.291297151823528e-06,7.785175694152713e-05,True,True,both_right,7,3,0.0,0
46,Thầy tự đạp đổ chén cơm chứ ai thèm cướp :) Đang yên đang lành tự nhiên gáy đấy chứ :3,0,CLEAN,0,CLEAN,loaded_artifact,0,CLEAN,0.9999933242797852,2.5454460228502285e-06,4.212164185446454e-06,True,True,both_right,86,23,0.0,2
47,Đẹp trai quá abe ơi,0,CLEAN,0,CLEAN,loaded_artifact,0,CLEAN,0.9999396800994873,1.90785658560344e-06,5.8404719311511144e-05,True,True,both_right,19,5,0.0,0
48,Chi Ba và Hiếu Minh 2 người thương nhau như chị em ruột; Hiếu minh quay clip nhận quà của chị Ba cho quá trời luôn. Hiếu Minh còn hứa cho chị Ba 1 miếng đất và sợi dây chuyền 10 cây nữa mà. Hứa là nhớ giữ lời đó.Đúng là sống với nhau bằng tình nghĩa chân thật.,0,CLEAN,0,CLEAN,loaded_artifact,0,CLEAN,0.9999909400939941,2.9345289931370644e-06,6.021187800797634e-06,True,True,both_right,260,65,0.0,5
49,Co ba oi co giau lam vay co giup nhung nguoi kho giong nku tui con di co,0,CLEAN,0,CLEAN,loaded_artifact,2,HATE,0.4622472822666168,0.00021550814562942833,0.537537157535553,True,False,svm_right_bilstm_wrong,72,18,0.05555555555555555,7
50,Nguyễn thị tươi thắm đó bạn,0,CLEAN,0,CLEAN,loaded_artifact,0,CLEAN,0.886128842830658,0.003235945710912347,0.1106351986527443,True,True,both_right,27,6,0.0,2
51,Ai hiểu lắm anh dạ nói em nghe em nói với người đó giùm cho,0,CLEAN,0,CLEAN,loaded_artifact,0,CLEAN,0.9998038411140442,7.749256837996654e-06,0.0001883856311906129,True,True,both_right,59,15,0.0,3
52,Cảm ơn thầy ba,0,CLEAN,0,CLEAN,loaded_artifact,0,CLEAN,0.999977707862854,4.1436553033236123e-07,2.1964289771858603e-05,True,True,both_right,14,4,0.0,1
53,Thích nhất bài chiếc khăn gió ấm 🌬,0,CLEAN,0,CLEAN,loaded_artifact,0,CLEAN,0.9999347925186157,4.070007889822591e-06,6.109470268711448e-05,True,True,both_right,34,8,0.125,2
54,LKC tập này xinh thực sự...,0,CLEAN,0,CLEAN,loaded_artifact,0,CLEAN,0.9901648163795471,0.0004361468309070915,0.0093989921733737,True,True,both_right,27,9,0.1111111111111111,0
55,Đập què giò đi a ba,0,CLEAN,0,CLEAN,loaded_artifact,0,CLEAN,0.9075338840484619,0.013143662363290787,0.07932247221469879,True,True,both_right,19,6,0.0,2
56,Sela kit clear petland phụ đạo để abe làm hết😎,0,CLEAN,0,CLEAN,loaded_artifact,1,OFFENSIVE,0.4230291545391083,0.4301256537437439,0.14684522151947021,True,False,svm_right_bilstm_wrong,46,11,0.09090909090909091,1
57,Nguyễn Ngọc Linh xét nghiệm mất 10 tiếng mới có kp.ai rảnh để xếp hàng đợi 10 tiếng mới được hiến máu đâu,0,CLEAN,0,CLEAN,loaded_artifact,0,CLEAN,0.9999890327453613,3.514291847750428e-06,7.5547031883616e-06,True,True,both_right,105,25,0.0,3
58,Toàn thánh phán,0,CLEAN,0,CLEAN,loaded_artifact,0,CLEAN,0.9549261331558228,0.028534777462482452,0.01653898134827614,True,True,both_right,15,3,0.0,1
59,"Chi bà nhiều tiền thì đi làm từ thiện,còn ơ đó nói tục tiểu, giơ bẩn. Làm nhục người vn trên thế giới. Làm bai hoại nền văn hóa vn. Xin yêu các cấp có thẩm quyền vào cuộc sử lý.",0,CLEAN,2,HATE,loaded_artifact,2,HATE,0.007760290056467056,0.0003467822098173201,0.99189293384552,False,False,both_wrong,177,48,0.0,12
60,Một phút bóc đồng bằng cả đời bóc cức 😂,1,OFFENSIVE,2,HATE,loaded_artifact,0,CLEAN,0.9799150824546814,0.014625518582761288,0.005459426436573267,False,False,both_wrong,39,10,0.0,3
61,Tết đi sắm đồ tết,0,CLEAN,0,CLEAN,loaded_artifact,0,CLEAN,0.9999998807907104,1.4868070330464889e-08,1.5515389861775475e-07,True,True,both_right,17,5,0.0,1
62,Aba hát hay quá!!! Nghe xong xỉu luôn,0,CLEAN,0,CLEAN,loaded_artifact,0,CLEAN,0.9998224377632141,2.8580117941601202e-05,0.00014900292444508523,True,True,both_right,37,11,0.0,2
63,Sếp người ta 😞,0,CLEAN,0,CLEAN,loaded_artifact,0,CLEAN,0.999992847442627,5.37565938429907e-06,1.7822700328906649e-06,True,True,both_right,14,4,0.0,0
64,Éo thích thì biến đi thọc con mắt chóng cái tai lên xem làm ghì,1,OFFENSIVE,2,HATE,loaded_artifact,0,CLEAN,0.672079861164093,0.04834747686982155,0.2795726954936981,False,False,both_wrong,63,15,0.13333333333333333,5
65,Hữu Nghĩa cánh hoa :>,0,CLEAN,0,CLEAN,loaded_artifact,0,CLEAN,0.9999892711639404,1.2811943861379405e-06,9.465526090934873e-06,True,True,both_right,21,6,0.0,0
66,91652062,0,CLEAN,0,CLEAN,loaded_artifact,0,CLEAN,0.4435941278934479,0.17931689321994781,0.3770890533924103,True,True,both_right,8,1,1.0,0
67,Bà này nói đúng mà bà đó đi làm o sin gửi tiền đô về Việt Nam hưởng chứ tiền Việt Nam lam gì có giá trị tuy bà nói chuyện thô lỗ tí nhưng mà bà nói đúng mà...,0,CLEAN,2,HATE,loaded_artifact,2,HATE,0.001353432540781796,2.000321910600178e-05,0.9986265897750854,False,False,both_wrong,158,43,0.0,4
68,Sếp ở đâu v ?!,0,CLEAN,0,CLEAN,loaded_artifact,0,CLEAN,0.9993553757667542,0.0005934712244197726,5.1094815717078745e-05,True,True,both_right,14,6,0.0,0
69,Ôi bố cái lũ thanh niên hãm lol. Đẹp mặt quá 😒😒,2,HATE,2,HATE,loaded_artifact,2,HATE,0.04541422426700592,3.6395267670741305e-05,0.9545493125915527,True,True,both_right,47,14,0.0,5
70,Hiền Hiền trời đất ôi chị em,0,CLEAN,0,CLEAN,loaded_artifact,1,OFFENSIVE,0.07376952469348907,0.9054897427558899,0.02074074000120163,True,False,svm_right_bilstm_wrong,28,7,0.0,0
71,Duy Linh mình ra sân bay đi mà gặp 10 thằng tây thì chỉ 2 người tây chiệu đeo khẩu trang thôi 😂,0,CLEAN,0,CLEAN,loaded_artifact,0,CLEAN,0.9958140254020691,0.004172567278146744,1.3449220205075108e-05,True,True,both_right,95,23,0.0,3
72,Cây bút đẹp vl,0,CLEAN,0,CLEAN,loaded_artifact,0,CLEAN,0.9999219179153442,5.727694951929152e-05,2.07191078516189e-05,True,True,both_right,14,4,0.0,2
73,Mấy ông sống nhanh thế =))),0,CLEAN,0,CLEAN,loaded_artifact,0,CLEAN,0.9934646487236023,0.002102284226566553,0.004433136433362961,True,True,both_right,27,9,0.0,1
74,Mặt chị nhìn sợ hơn mặt ông kia á 😞,0,CLEAN,0,CLEAN,loaded_artifact,0,CLEAN,0.9903993010520935,0.00046328792814165354,0.00913737341761589,True,True,both_right,35,10,0.0,2
75,Trước sau j cũng đi theo phúc xạo lol,2,HATE,2,HATE,loaded_artifact,1,OFFENSIVE,0.003808846464380622,0.6056433916091919,0.3905477225780487,True,False,svm_right_bilstm_wrong,37,9,0.0,4
76,Theo trung cộng đi rồi đến lúc ko còn lợi dụng đc bà sẽ thấy cảnh. Hãy nhớ câu đừng nghe những gì cs nói mà..😂😂😂,2,HATE,2,HATE,loaded_artifact,2,HATE,0.20110970735549927,0.004797132685780525,0.7940931916236877,True,True,both_right,112,32,0.0,7
77,Công an mà muốn xử lý thì 2 ông luật sư này sẽ biến mất ngay lập tức. Chứ chả phải bị đánh giữa đường rồi chụp ảnh máu me post lên mạng rầm rầm đâu,0,CLEAN,1,OFFENSIVE,loaded_artifact,2,HATE,0.43301063776016235,0.03565073758363724,0.5313385725021362,False,False,both_wrong,147,37,0.0,8
78,Nặc Na t cũng ko bt nữa😁,0,CLEAN,0,CLEAN,loaded_artifact,0,CLEAN,0.9997327923774719,0.00020427870913408697,6.289050361374393e-05,True,True,both_right,24,8,0.125,0
79,"dấu hậu cần kìa, nội bộ thôi",0,CLEAN,0,CLEAN,loaded_artifact,0,CLEAN,0.9532759189605713,0.04665641114115715,6.759325333405286e-05,True,True,both_right,28,8,0.0,0
80,"RIết thằng ad chửi nhảm quá, cp1 gì thì chửi bệnh viện. Lôi cả cái đất nước vào làm gì :))",2,HATE,2,HATE,loaded_artifact,2,HATE,0.0008257066365331411,0.0005030110478401184,0.998671293258667,True,True,both_right,90,25,0.04,6
81,Chúc mừng idol :)),0,CLEAN,0,CLEAN,loaded_artifact,0,CLEAN,0.9999686479568481,9.26900838749134e-07,3.0442222850979306e-05,True,True,both_right,18,6,0.0,0
82,Vy Vy 😆😆,0,CLEAN,0,CLEAN,loaded_artifact,0,CLEAN,0.9997153878211975,0.0002047291782218963,7.987355638761073e-05,True,True,both_right,8,4,0.0,0
83,Tao bó tay.....:v,0,CLEAN,0,CLEAN,loaded_artifact,0,CLEAN,0.8238340616226196,0.16374436020851135,0.01242151577025652,True,True,both_right,17,10,0.0,1
