sample_id,text,case_type,expected_behavior,note,original_text,normalized_text,text_changed_by_normalization,predicted_label,confidence,prob_clean,prob_offensive,prob_hate,toxic_spans_original_json,toxic_spans_normalized_json,toxic_span_count_original,toxic_span_count_normalized,toxic_span_texts,highlighted_text,highlighted_normalized_text,risk_score,risk_level,risk_components_json,policy_mode,moderation_action,human_readable_reason
ex001,"Bạn nói chuyện rất dễ thương, cảm ơn nhé.",clean,allow,positive clean comment,"Bạn nói chuyện rất dễ thương, cảm ơn nhé.","Bạn nói chuyện rất dễ thương, cảm ơn nhé.",False,CLEAN,0.9900763630867004,0.9900763630867004,0.004362053703516722,0.005561576224863529,[],[],0,0,,"Bạn nói chuyện rất dễ thương, cảm ơn nhé.","Bạn nói chuyện rất dễ thương, cảm ơn nhé.",0.19863468086346983,low,"{""base_label_risk"": 0.1, ""confidence_bonus"": 0.098, ""hate_probability_bonus"": 0.0004, ""offensive_probability_bonus"": 0.0002, ""span_count_bonus"": 0.0, ""span_length_bonus"": 0.0, ""normalization_bonus"": 0.0, ""policy_adjustment"": 0.0, ""final_risk"": 0.1986}",balanced,allow,Predicted as CLEAN and no toxic span was found.
ex002,Mình không đồng ý với quan điểm này nhưng vẫn tôn trọng bạn.,clean,allow,polite disagreement,Mình không đồng ý với quan điểm này nhưng vẫn tôn trọng bạn.,Mình không đồng ý với quan điểm này nhưng vẫn tôn trọng bạn.,False,CLEAN,0.9899222254753113,0.9899222254753113,0.004591429140418768,0.005486335139721632,[],[],0,0,,Mình không đồng ý với quan điểm này nhưng vẫn tôn trọng bạn.,Mình không đồng ý với quan điểm này nhưng vẫn tôn trọng bạn.,0.19860700907185674,low,"{""base_label_risk"": 0.1, ""confidence_bonus"": 0.098, ""hate_probability_bonus"": 0.0004, ""offensive_probability_bonus"": 0.0002, ""span_count_bonus"": 0.0, ""span_length_bonus"": 0.0, ""normalization_bonus"": 0.0, ""policy_adjustment"": 0.0, ""final_risk"": 0.1986}",balanced,allow,Predicted as CLEAN and no toxic span was found.
ex003,Bài viết này cần thêm bằng chứng chứ đừng kết luận vội.,clean,allow,critical but non-toxic,Bài viết này cần thêm bằng chứng chứ đừng kết luận vội.,Bài viết này cần thêm bằng chứng chứ đừng kết luận vội.,False,CLEAN,0.9909141063690186,0.9909141063690186,0.00558420829474926,0.0035017658956348896,[],[],0,0,,Bài viết này cần thêm bằng chứng chứ đừng kết luận vội.,Bài viết này cần thêm bằng chứng chứ đừng kết luận vội.,0.19868633087724447,low,"{""base_label_risk"": 0.1, ""confidence_bonus"": 0.0982, ""hate_probability_bonus"": 0.0003, ""offensive_probability_bonus"": 0.0002, ""span_count_bonus"": 0.0, ""span_length_bonus"": 0.0, ""normalization_bonus"": 0.0, ""policy_adjustment"": 0.0, ""final_risk"": 0.1987}",balanced,allow,Predicted as CLEAN and no toxic span was found.
ex004,Tôi thấy cách diễn đạt hơi khó hiểu.,clean,allow,neutral feedback,Tôi thấy cách diễn đạt hơi khó hiểu.,Tôi thấy cách diễn đạt hơi khó hiểu.,False,CLEAN,0.9879520535469055,0.9879520535469055,0.009294173680245876,0.002753819804638624,[],[],0,0,,Tôi thấy cách diễn đạt hơi khó hiểu.,Tôi thấy cách diễn đạt hơi khó hiểu.,0.19818248324096202,low,"{""base_label_risk"": 0.1, ""confidence_bonus"": 0.0976, ""hate_probability_bonus"": 0.0002, ""offensive_probability_bonus"": 0.0004, ""span_count_bonus"": 0.0, ""span_length_bonus"": 0.0, ""normalization_bonus"": 0.0, ""policy_adjustment"": 0.0, ""final_risk"": 0.1982}",balanced,allow,Predicted as CLEAN and no toxic span was found.
ex005,Cảm ơn bạn đã chia sẻ thông tin.,clean,allow,clean,Cảm ơn bạn đã chia sẻ thông tin.,Cảm ơn bạn đã chia sẻ thông tin.,False,CLEAN,0.9906062483787537,0.9906062483787537,0.004603132139891386,0.004790596663951874,[],[],0,0,,Cảm ơn bạn đã chia sẻ thông tin.,Cảm ơn bạn đã chia sẻ thông tin.,0.19868862269446255,low,"{""base_label_risk"": 0.1, ""confidence_bonus"": 0.0981, ""hate_probability_bonus"": 0.0004, ""offensive_probability_bonus"": 0.0002, ""span_count_bonus"": 0.0, ""span_length_bonus"": 0.0, ""normalization_bonus"": 0.0, ""policy_adjustment"": 0.0, ""final_risk"": 0.1987}",balanced,allow,Predicted as CLEAN and no toxic span was found.
ex006,"Cái này sai rồi, bạn kiểm tra lại giúp mình.",clean,allow,non-toxic correction,"Cái này sai rồi, bạn kiểm tra lại giúp mình.","Cái này sai rồi, bạn kiểm tra lại giúp mình.",False,CLEAN,0.989702582359314,0.989702582359314,0.005006884690374136,0.005290568806231022,[],[],0,0,,"Cái này sai rồi, bạn kiểm tra lại giúp mình.","Cái này sai rồi, bạn kiểm tra lại giúp mình.",0.19856403736397626,low,"{""base_label_risk"": 0.1, ""confidence_bonus"": 0.0979, ""hate_probability_bonus"": 0.0004, ""offensive_probability_bonus"": 0.0002, ""span_count_bonus"": 0.0, ""span_length_bonus"": 0.0, ""normalization_bonus"": 0.0, ""policy_adjustment"": 0.0, ""final_risk"": 0.1986}",balanced,allow,Predicted as CLEAN and no toxic span was found.
ex007,Mày nói chuyện ngu thật.,offensive,warn_or_review,direct insult,Mày nói chuyện ngu thật.,Mày nói chuyện ngu thật.,False,HATE,0.9911817312240601,0.0034350778441876173,0.005383208394050598,0.9911817312240601,[],[],0,0,,Mày nói chuyện ngu thật.,Mày nói chuyện ngu thật.,1.0,critical,"{""base_label_risk"": 0.85, ""confidence_bonus"": 0.0982, ""hate_probability_bonus"": 0.0793, ""offensive_probability_bonus"": 0.0002, ""span_count_bonus"": 0.0, ""span_length_bonus"": 0.0, ""normalization_bonus"": 0.0, ""policy_adjustment"": 0.0, ""final_risk"": 1.0}",balanced,block_or_escalate,Predicted as HATE with confidence 0.99. Risk level is critical; suggested action is block_or_escalate.
ex008,"Đồ ngu, đọc lại đi rồi hãy nói.",offensive,warn_or_review,direct insult,"Đồ ngu, đọc lại đi rồi hãy nói.","Đồ ngu, đọc lại đi rồi hãy nói.",False,HATE,0.985678493976593,0.005593853071331978,0.008727677166461945,0.985678493976593,[],[],0,0,,"Đồ ngu, đọc lại đi rồi hãy nói.","Đồ ngu, đọc lại đi rồi hãy nói.",1.0,critical,"{""base_label_risk"": 0.85, ""confidence_bonus"": 0.0971, ""hate_probability_bonus"": 0.0789, ""offensive_probability_bonus"": 0.0003, ""span_count_bonus"": 0.0, ""span_length_bonus"": 0.0, ""normalization_bonus"": 0.0, ""policy_adjustment"": 0.0, ""final_risk"": 1.0}",balanced,block_or_escalate,Predicted as HATE with confidence 0.99. Risk level is critical; suggested action is block_or_escalate.
ex009,"Cút đi, đừng bình luận nữa.",offensive,warn_or_review,dismissive abuse,"Cút đi, đừng bình luận nữa.","Cút đi, đừng bình luận nữa.",False,CLEAN,0.9906863570213318,0.9906863570213318,0.004619900602847338,0.004693698137998581,[],[],0,0,,"Cút đi, đừng bình luận nữa.","Cút đi, đừng bình luận nữa.",0.19869756327942015,low,"{""base_label_risk"": 0.1, ""confidence_bonus"": 0.0981, ""hate_probability_bonus"": 0.0004, ""offensive_probability_bonus"": 0.0002, ""span_count_bonus"": 0.0, ""span_length_bonus"": 0.0, ""normalization_bonus"": 0.0, ""policy_adjustment"": 0.0, ""final_risk"": 0.1987}",balanced,allow,Predicted as CLEAN and no toxic span was found.
ex010,Nói chuyện mất dạy quá.,offensive,warn_or_review,offensive phrase,Nói chuyện mất dạy quá.,Nói chuyện mất dạy quá.,False,OFFENSIVE,0.7690848708152771,0.015601333230733871,0.7690848708152771,0.21531377732753754,[],[],0,0,,Nói chuyện mất dạy quá.,Nói chuyện mất dạy quá.,0.6518054711818695,high,"{""base_label_risk"": 0.55, ""confidence_bonus"": 0.0538, ""hate_probability_bonus"": 0.0172, ""offensive_probability_bonus"": 0.0308, ""span_count_bonus"": 0.0, ""span_length_bonus"": 0.0, ""normalization_bonus"": 0.0, ""policy_adjustment"": 0.0, ""final_risk"": 0.6518}",balanced,send_to_review,Predicted as OFFENSIVE with confidence 0.77. Risk level is high; suggested action is send_to_review.
