text_original,text_clean,label_id,label_name,label_binary
Em được làm fan cứng luôn rồi nè ❤️ reaction quá hay quá cute coi mấy giờ này quá hợp lí =]]],Em được làm fan cứng luôn rồi nè ❤️ reaction quá hay quá cute coi mấy giờ này quá hợp lí =]]],0,CLEAN,0
Đúng là bọn mắt híp lò xo thụt :))) bên việt nam t cái này ra cách đây 10 năm r và bọn t gọi là cái L :))),Đúng là bọn mắt híp lò xo thụt :))) bên việt nam t cái này ra cách đây 10 năm r và bọn t gọi là cái L :))),2,HATE,1
Đậu Văn Cường giờ giống thằng sida hơn à,Đậu Văn Cường giờ giống thằng sida hơn à,0,CLEAN,0
CÔN ĐỒ CỤC SÚC VÔ NHÂN TÍNH ĐỀ NGHI VN. NHÀ NƯỚC VN BAN THƯỞNG.,CÔN ĐỒ CỤC SÚC VÔ NHÂN TÍNH ĐỀ NGHI VN. NHÀ NƯỚC VN BAN THƯỞNG.,2,HATE,1
Từ lý thuyết đến thực hành là cả 1 câu chuyện dài =)),Từ lý thuyết đến thực hành là cả 1 câu chuyện dài =)),0,CLEAN,0
Coronavirus is manmade,Coronavirus is manmade,0,CLEAN,0
Đố chúng m nhận ra ai,Đố chúng m nhận ra ai,0,CLEAN,0
Lúp lúp như chó .,Lúp lúp như chó .,1,OFFENSIVE,1
🥰🥰🥰,🥰🥰🥰,0,CLEAN,0
"Thế mà mình nói mấy thằng bắc kì, bọn đó lại bâu vô nói mình phân biệt!:D","Thế mà mình nói mấy thằng bắc kì, bọn đó lại bâu vô nói mình phân biệt!:D",2,HATE,1
"Được anh ưi, lâu rồi không nghe phúc du rap 🤣","Được anh ưi, lâu rồi không nghe phúc du rap 🤣",0,CLEAN,0
Cắt cho trẻ trâu bớt thui mà 😂😂😂,Cắt cho trẻ trâu bớt thui mà 😂😂😂,0,CLEAN,0
Nghe rất vô lí nhưng cực kì thuyết phục,Nghe rất vô lí nhưng cực kì thuyết phục,0,CLEAN,0
"chán ghê hong có pé 2 mới máu được, hâhha","chán ghê hong có pé 2 mới máu được, hâhha",0,CLEAN,0
Sao t gửi đc bây,Sao t gửi đc bây,0,CLEAN,0
thế đấy. làm j bọn nó. bọn nó có quyền nên làm j chả được :v,thế đấy. làm j bọn nó. bọn nó có quyền nên làm j chả được :v,0,CLEAN,0
Loại này cho dựa cột thôi chứ độ thế nào,Loại này cho dựa cột thôi chứ độ thế nào,2,HATE,1
Thuong wa di,Thuong wa di,0,CLEAN,0
Dạy bơi cho cá. Bơi thì đương nhiên nó bơi được vì nó là cá. Làm sao cho nó sống được mới là điều người dân đang quan tâm.,Dạy bơi cho cá. Bơi thì đương nhiên nó bơi được vì nó là cá. Làm sao cho nó sống được mới là điều người dân đang quan tâm.,1,OFFENSIVE,1
Ủa chứ bữa xin lỗi khóc tế om xòm mà giờ chửi nữa rồi bó tay con này hỗn quá,Ủa chứ bữa xin lỗi khóc tế om xòm mà giờ chửi nữa rồi bó tay con này hỗn quá,2,HATE,1
Bamtp chạy ngay ddi:)),Bamtp chạy ngay ddi:)),0,CLEAN,0
