sample_id,text,true_label_id,true_label,svm_pred_id,svm_pred_label,svm_source,bilstm_pred_id,bilstm_pred_label,prob_clean,prob_offensive,prob_hate,svm_correct,bilstm_correct,comparison_group,text_len_chars,text_len_tokens,bilstm_oov_rate,toxic_keyword_count
43,Phét,0,CLEAN,2,HATE,loaded_artifact,0,CLEAN,0.78934645652771,0.008637085556983948,0.20201639831066132,False,True,bilstm_right_svm_wrong,4,1,0.0,0
1904,Nhung,0,CLEAN,2,HATE,loaded_artifact,0,CLEAN,0.4636594355106354,0.08487898856401443,0.4514616131782532,False,True,bilstm_right_svm_wrong,5,1,0.0,0
1728,Gan vđ,0,CLEAN,1,OFFENSIVE,loaded_artifact,0,CLEAN,0.9528349041938782,0.02109019085764885,0.026074867695569992,False,True,bilstm_right_svm_wrong,6,2,0.0,1
338,Lên vl luôn,0,CLEAN,1,OFFENSIVE,loaded_artifact,0,CLEAN,0.9998966455459595,9.021809819387272e-05,1.3119991308485623e-05,False,True,bilstm_right_svm_wrong,11,3,0.0,1
1812,Lộn cái là,0,CLEAN,1,OFFENSIVE,loaded_artifact,0,CLEAN,0.8091431856155396,0.12580184638500214,0.06505502015352249,False,True,bilstm_right_svm_wrong,10,3,0.0,1
2930,Đau não😂,0,CLEAN,2,HATE,loaded_artifact,0,CLEAN,0.4495697319507599,0.1738249957561493,0.37660521268844604,False,True,bilstm_right_svm_wrong,8,3,0.0,1
5617,Chán😅😅,0,CLEAN,1,OFFENSIVE,loaded_artifact,0,CLEAN,0.9996875524520874,0.0003116894804406911,8.515257832186762e-07,False,True,bilstm_right_svm_wrong,6,3,0.0,1
6120,Ưa đập hi,0,CLEAN,1,OFFENSIVE,loaded_artifact,0,CLEAN,0.9950425624847412,0.0035079417284578085,0.0014494825154542923,False,True,bilstm_right_svm_wrong,9,3,0.0,1
5207,chuẩn vlon anh ưiii,0,CLEAN,1,OFFENSIVE,loaded_artifact,0,CLEAN,0.9878072142601013,0.011188765056431293,0.0010040084598585963,False,True,bilstm_right_svm_wrong,19,4,0.0,3
602,Cô hồn nha mấy đứa,0,CLEAN,2,HATE,loaded_artifact,0,CLEAN,0.9991087317466736,7.096015906427056e-06,0.000884082168340683,False,True,bilstm_right_svm_wrong,18,5,0.0,3
793,mắc mợt á :<,0,CLEAN,1,OFFENSIVE,loaded_artifact,0,CLEAN,0.9997478127479553,0.0001704856549622491,8.172794332494959e-05,False,True,bilstm_right_svm_wrong,12,5,0.2,1
2045,ad muốn rửa bát bẩn,0,CLEAN,2,HATE,loaded_artifact,0,CLEAN,0.9965202808380127,0.0005282356287352741,0.002951396629214287,False,True,bilstm_right_svm_wrong,19,5,0.0,3
2138,Cái lông mày hơi khác,0,CLEAN,2,HATE,loaded_artifact,0,CLEAN,0.8448027968406677,0.00163490348495543,0.1535622477531433,False,True,bilstm_right_svm_wrong,21,5,0.0,4
2141,Thề coi giải trí vl,0,CLEAN,1,OFFENSIVE,loaded_artifact,0,CLEAN,0.9768818020820618,0.020339827984571457,0.0027783517725765705,False,True,bilstm_right_svm_wrong,19,5,0.0,3
2392,Thằng cường nói k sai,0,CLEAN,2,HATE,loaded_artifact,0,CLEAN,0.9985230565071106,7.785787602188066e-05,0.001399152330122888,False,True,bilstm_right_svm_wrong,21,5,0.0,3
5995,hoa cmn hậu luôn !,0,CLEAN,1,OFFENSIVE,loaded_artifact,0,CLEAN,0.7311128377914429,0.2685854732990265,0.0003016980772372335,False,True,bilstm_right_svm_wrong,18,5,0.0,2
6168,15:03 Cuoi ia,0,CLEAN,1,OFFENSIVE,loaded_artifact,0,CLEAN,0.9974621534347534,0.0004014508449472487,0.0021364379208534956,False,True,bilstm_right_svm_wrong,13,5,0.0,2
112,Nghĩ mà chán :)),0,CLEAN,1,OFFENSIVE,loaded_artifact,0,CLEAN,0.6044053435325623,0.3935507833957672,0.002043942455202341,False,True,bilstm_right_svm_wrong,16,6,0.0,1
145,Lại thêm một con khoác lác,0,CLEAN,2,HATE,loaded_artifact,0,CLEAN,0.8843647241592407,0.03289062902331352,0.08274459838867188,False,True,bilstm_right_svm_wrong,26,6,0.0,2
1825,Tận lực tận tâm với nghề,0,CLEAN,1,OFFENSIVE,loaded_artifact,0,CLEAN,0.9807250499725342,0.01812303066253662,0.0011519266990944743,False,True,bilstm_right_svm_wrong,24,6,0.0,0
2261,Cộng sản nói về Trần Dần,0,CLEAN,2,HATE,loaded_artifact,0,CLEAN,0.9996010661125183,2.941364436992444e-05,0.0003695456252899021,False,True,bilstm_right_svm_wrong,24,6,0.0,2
2373,Mỹ giúp chứ ai vào đây,0,CLEAN,2,HATE,loaded_artifact,0,CLEAN,0.9510586261749268,0.03724566102027893,0.011695800349116325,False,True,bilstm_right_svm_wrong,22,6,0.0,0
3647,tuyên giáo mà cha :v,0,CLEAN,2,HATE,loaded_artifact,0,CLEAN,0.9993594288825989,0.0003211078583262861,0.0003194889286532998,False,True,bilstm_right_svm_wrong,20,6,0.0,0
4956,Het noi noi xau ho wa,0,CLEAN,2,HATE,loaded_artifact,0,CLEAN,0.9995419979095459,0.00027633365243673325,0.000181761133717373,False,True,bilstm_right_svm_wrong,21,6,0.0,1
296,Cái mỏ i chang cá lóc lun,0,CLEAN,2,HATE,loaded_artifact,0,CLEAN,0.997262716293335,0.00035259086871519685,0.002384654013440013,False,True,bilstm_right_svm_wrong,25,7,0.0,3
309,Thèm bún real vl :)),0,CLEAN,1,OFFENSIVE,loaded_artifact,0,CLEAN,0.9876495003700256,0.010393168777227402,0.00195735483430326,False,True,bilstm_right_svm_wrong,20,7,0.0,2
1106,Thế cong trải thảm tiếp cẩu tập,0,CLEAN,2,HATE,loaded_artifact,0,CLEAN,0.48100990056991577,0.07402563840150833,0.4449644684791565,False,True,bilstm_right_svm_wrong,31,7,0.0,2
3598,Vũ Khắc Hoàng nhìn idol chất vcl,0,CLEAN,1,OFFENSIVE,loaded_artifact,0,CLEAN,0.9999909400939941,6.432143777601596e-07,8.467687621305231e-06,False,True,bilstm_right_svm_wrong,32,7,0.0,3
4705,Linh Minnie kêu thằng tháng nghĩ di,0,CLEAN,2,HATE,loaded_artifact,0,CLEAN,0.9850175976753235,0.003352210158482194,0.01163018774241209,False,True,bilstm_right_svm_wrong,35,7,0.14285714285714285,2
4825,Con Minh Hiếu nó su bờ nai,0,CLEAN,2,HATE,loaded_artifact,0,CLEAN,0.9994588494300842,0.0001776986609911546,0.0003635421162471175,False,True,bilstm_right_svm_wrong,26,7,0.0,2
2046,ở nhà tránh con di chùng :v,0,CLEAN,2,HATE,loaded_artifact,0,CLEAN,0.9988130331039429,1.4016822206031065e-05,0.001172941760160029,False,True,bilstm_right_svm_wrong,27,8,0.0,2
2393,Hán việt là cùng một nồi sinh ra,0,CLEAN,2,HATE,loaded_artifact,0,CLEAN,0.9999290704727173,1.7409831343684345e-05,5.351126674213447e-05,False,True,bilstm_right_svm_wrong,32,8,0.0,0
2650,Đảng viên CS Trần Dần...,0,CLEAN,2,HATE,loaded_artifact,0,CLEAN,0.8422271609306335,0.0001340755698038265,0.1576387733221054,False,True,bilstm_right_svm_wrong,24,8,0.0,1
2819,luật ko giành cho dân đen :v,0,CLEAN,2,HATE,loaded_artifact,0,CLEAN,0.9940896034240723,0.00025874603306874633,0.005651676096022129,False,True,bilstm_right_svm_wrong,28,8,0.0,2
2927,Làm chết người khác với giết người!,0,CLEAN,2,HATE,loaded_artifact,0,CLEAN,0.8785342574119568,0.05375857651233673,0.0677071139216423,False,True,bilstm_right_svm_wrong,35,8,0.0,4
3017,4 con báo nguy hiểm nhất hành tinh,0,CLEAN,2,HATE,loaded_artifact,0,CLEAN,0.9883910417556763,5.82419779675547e-05,0.0115507235750556,False,True,bilstm_right_svm_wrong,34,8,0.0,4
3045,Thà éo bh e nói dối😑😑,0,CLEAN,1,OFFENSIVE,loaded_artifact,0,CLEAN,0.999992847442627,4.386499767861096e-07,6.641618256253423e-06,False,True,bilstm_right_svm_wrong,21,8,0.0,3
4454,Nhìn muốn ăn sạch luôn ák😂😂,0,CLEAN,1,OFFENSIVE,loaded_artifact,0,CLEAN,0.972623348236084,0.027356676757335663,1.9925979358959012e-05,False,True,bilstm_right_svm_wrong,27,8,0.0,2
4595,Vào đây nếu các cậu thích nhé :,0,CLEAN,2,HATE,loaded_artifact,0,CLEAN,0.9999334812164307,2.8965851015527733e-05,3.7513596907956526e-05,False,True,bilstm_right_svm_wrong,31,8,0.0,1
6304,Phò cũng có phò yêu nước chứ 😂,0,CLEAN,2,HATE,loaded_artifact,0,CLEAN,0.6872662901878357,0.07832945883274078,0.23440423607826233,False,True,bilstm_right_svm_wrong,30,8,0.0,1
3034,Huy Phạm vl bạn :)) khịa vl,0,CLEAN,1,OFFENSIVE,loaded_artifact,0,CLEAN,0.6964765191078186,0.2662530839443207,0.03727041929960251,False,True,bilstm_right_svm_wrong,27,9,0.0,2
4722,Có đá phò tây chưa abe 🤣🤣🤣,0,CLEAN,2,HATE,loaded_artifact,0,CLEAN,0.9999922513961792,1.8402231489744736e-06,5.955821507086512e-06,False,True,bilstm_right_svm_wrong,26,9,0.0,2
540,R.I.P Anh thị bò dát vàng,0,CLEAN,2,HATE,loaded_artifact,0,CLEAN,0.5210054516792297,0.00697226170450449,0.47202232480049133,False,True,bilstm_right_svm_wrong,25,10,0.1,1
886,Lol này cây vô đầu nó mới sợ :),0,CLEAN,2,HATE,loaded_artifact,0,CLEAN,0.6348422169685364,0.06585370749235153,0.2993040978908539,False,True,bilstm_right_svm_wrong,31,10,0.0,4
1419,"Có cc,t là bẩm sinh r :v",0,CLEAN,1,OFFENSIVE,loaded_artifact,0,CLEAN,0.6711871027946472,0.03838418051600456,0.29042869806289673,False,True,bilstm_right_svm_wrong,24,10,0.0,1
3029,Mày làm tao bối rối vl admin :)),0,CLEAN,2,HATE,loaded_artifact,0,CLEAN,0.6146374344825745,0.3589147627353668,0.026447797194123268,False,True,bilstm_right_svm_wrong,32,10,0.0,5
3207,Thà từ chức còn hơn làm một con rối!,0,CLEAN,2,HATE,loaded_artifact,0,CLEAN,0.6719248294830322,0.08933281153440475,0.23874235153198242,False,True,bilstm_right_svm_wrong,36,10,0.0,2
3551,thông minh thì nó tìm cách tiêu diệt :v,0,CLEAN,2,HATE,loaded_artifact,0,CLEAN,0.5401621460914612,0.4560673236846924,0.0037705188151448965,False,True,bilstm_right_svm_wrong,39,10,0.0,3
3715,"Nhìn tác phong, biết tư cách...",0,CLEAN,1,OFFENSIVE,loaded_artifact,0,CLEAN,0.9380794763565063,0.015209580771625042,0.04671095311641693,False,True,bilstm_right_svm_wrong,31,10,0.0,1
3747,Tặng hoa cho thèn bạn lol :))),0,CLEAN,2,HATE,loaded_artifact,0,CLEAN,0.5581117272377014,0.0006770462496206164,0.4412112236022949,False,True,bilstm_right_svm_wrong,30,10,0.0,3
3844,Khổ quá. Kiếm cơm sống qua ngày cũng khó,0,CLEAN,1,OFFENSIVE,loaded_artifact,0,CLEAN,0.9996410608291626,0.00034319216501899064,1.56705154950032e-05,False,True,bilstm_right_svm_wrong,40,10,0.0,2
4064,thì làm sao ? có vấn đề gì à ?,0,CLEAN,1,OFFENSIVE,loaded_artifact,0,CLEAN,0.9514147043228149,0.042926982045173645,0.005658411420881748,False,True,bilstm_right_svm_wrong,30,10,0.0,0
4467,mấy người tận tâm với đất nước với dân tộc,0,CLEAN,2,HATE,loaded_artifact,0,CLEAN,0.7526662945747375,0.010548732243478298,0.23678496479988098,False,True,bilstm_right_svm_wrong,42,10,0.0,1
5638,Nói ra câu ngu bị mọi người chửi thêm cho,0,CLEAN,2,HATE,loaded_artifact,0,CLEAN,0.576530933380127,0.05830741301178932,0.3651616871356964,False,True,bilstm_right_svm_wrong,41,10,0.0,6
5675,Trần Thị Nhung BGD phản hồi cmt của Nhung😗,0,CLEAN,2,HATE,loaded_artifact,0,CLEAN,0.7172399163246155,0.00031927559757605195,0.28244078159332275,False,True,bilstm_right_svm_wrong,42,10,0.1,1
6145,Trên bờ thì hít khí bẩn ăn hoá chất nhé,0,CLEAN,2,HATE,loaded_artifact,0,CLEAN,0.444548636674881,0.14500409364700317,0.4104471802711487,False,True,bilstm_right_svm_wrong,39,10,0.0,2
0,Đừng cố biện minh =)))) choi lon,0,CLEAN,2,HATE,loaded_artifact,0,CLEAN,0.46064889430999756,0.2676660716533661,0.27168500423431396,False,True,bilstm_right_svm_wrong,32,11,0.0,2
387,Ráng sống diễn hài cho mấy con coi nhé bác TD,0,CLEAN,2,HATE,loaded_artifact,0,CLEAN,0.9999749660491943,2.1306677808752283e-05,3.6634705793403555e-06,False,True,bilstm_right_svm_wrong,45,11,0.0,4
2599,A Vũ Khắc Tiệp nhỉ 👌🏻👌🏻 đc r,0,CLEAN,2,HATE,loaded_artifact,0,CLEAN,0.8985751867294312,1.277250066777924e-05,0.10141213983297348,False,True,bilstm_right_svm_wrong,28,11,0.0,0
4933,Người có 500tr giúp cái người k có 500tr 😂 đm,0,CLEAN,1,OFFENSIVE,loaded_artifact,0,CLEAN,0.9942956566810608,0.0039060674607753754,0.001798370503820479,False,True,bilstm_right_svm_wrong,45,11,0.0,2
5146,"Chính phủ Hàn quốc hoặc đông lào said:\""",0,CLEAN,2,HATE,loaded_artifact,0,CLEAN,0.9987963438034058,0.00016713181685190648,0.0010364570189267397,False,True,bilstm_right_svm_wrong,40,11,0.0,0
