sample_id,case_type,expected_behavior,original_text,normalized_text,text_changed_by_normalization,predicted_label,confidence,prob_clean,prob_offensive,prob_hate,toxic_span_texts,highlighted_text,highlighted_normalized_text,risk_score,risk_level,moderation_action,human_readable_reason
ex001,clean,allow,"Bạn nói chuyện rất dễ thương, cảm ơn nhé.","Bạn nói chuyện rất dễ thương, cảm ơn nhé.",False,CLEAN,0.9900763630867004,0.9900763630867004,0.004362053703516722,0.005561576224863529,,"Bạn nói chuyện rất dễ thương, cảm ơn nhé.","Bạn nói chuyện rất dễ thương, cảm ơn nhé.",0.19863468086346983,low,allow,Predicted as CLEAN and no toxic span was found.
ex002,clean,allow,Mình không đồng ý với quan điểm này nhưng vẫn tôn trọng bạn.,Mình không đồng ý với quan điểm này nhưng vẫn tôn trọng bạn.,False,CLEAN,0.9899222254753113,0.9899222254753113,0.004591429140418768,0.005486335139721632,,Mình không đồng ý với quan điểm này nhưng vẫn tôn trọng bạn.,Mình không đồng ý với quan điểm này nhưng vẫn tôn trọng bạn.,0.19860700907185674,low,allow,Predicted as CLEAN and no toxic span was found.
ex003,clean,allow,Bài viết này cần thêm bằng chứng chứ đừng kết luận vội.,Bài viết này cần thêm bằng chứng chứ đừng kết luận vội.,False,CLEAN,0.9909141063690186,0.9909141063690186,0.00558420829474926,0.0035017658956348896,,Bài viết này cần thêm bằng chứng chứ đừng kết luận vội.,Bài viết này cần thêm bằng chứng chứ đừng kết luận vội.,0.19868633087724447,low,allow,Predicted as CLEAN and no toxic span was found.
ex004,clean,allow,Tôi thấy cách diễn đạt hơi khó hiểu.,Tôi thấy cách diễn đạt hơi khó hiểu.,False,CLEAN,0.9879520535469055,0.9879520535469055,0.009294173680245876,0.002753819804638624,,Tôi thấy cách diễn đạt hơi khó hiểu.,Tôi thấy cách diễn đạt hơi khó hiểu.,0.19818248324096202,low,allow,Predicted as CLEAN and no toxic span was found.
ex005,clean,allow,Cảm ơn bạn đã chia sẻ thông tin.,Cảm ơn bạn đã chia sẻ thông tin.,False,CLEAN,0.9906062483787537,0.9906062483787537,0.004603132139891386,0.004790596663951874,,Cảm ơn bạn đã chia sẻ thông tin.,Cảm ơn bạn đã chia sẻ thông tin.,0.19868862269446255,low,allow,Predicted as CLEAN and no toxic span was found.
ex006,clean,allow,"Cái này sai rồi, bạn kiểm tra lại giúp mình.","Cái này sai rồi, bạn kiểm tra lại giúp mình.",False,CLEAN,0.989702582359314,0.989702582359314,0.005006884690374136,0.005290568806231022,,"Cái này sai rồi, bạn kiểm tra lại giúp mình.","Cái này sai rồi, bạn kiểm tra lại giúp mình.",0.19856403736397626,low,allow,Predicted as CLEAN and no toxic span was found.
ex007,offensive,warn_or_review,Mày nói chuyện ngu thật.,Mày nói chuyện ngu thật.,False,HATE,0.9911817312240601,0.0034350778441876173,0.005383208394050598,0.9911817312240601,,Mày nói chuyện ngu thật.,Mày nói chuyện ngu thật.,1.0,critical,block_or_escalate,Predicted as HATE with confidence 0.99. Risk level is critical; suggested action is block_or_escalate.
ex008,offensive,warn_or_review,"Đồ ngu, đọc lại đi rồi hãy nói.","Đồ ngu, đọc lại đi rồi hãy nói.",False,HATE,0.985678493976593,0.005593853071331978,0.008727677166461945,0.985678493976593,,"Đồ ngu, đọc lại đi rồi hãy nói.","Đồ ngu, đọc lại đi rồi hãy nói.",1.0,critical,block_or_escalate,Predicted as HATE with confidence 0.99. Risk level is critical; suggested action is block_or_escalate.
ex009,offensive,warn_or_review,"Cút đi, đừng bình luận nữa.","Cút đi, đừng bình luận nữa.",False,CLEAN,0.9906863570213318,0.9906863570213318,0.004619900602847338,0.004693698137998581,,"Cút đi, đừng bình luận nữa.","Cút đi, đừng bình luận nữa.",0.19869756327942015,low,allow,Predicted as CLEAN and no toxic span was found.
ex010,offensive,warn_or_review,Nói chuyện mất dạy quá.,Nói chuyện mất dạy quá.,False,OFFENSIVE,0.7690848708152771,0.015601333230733871,0.7690848708152771,0.21531377732753754,,Nói chuyện mất dạy quá.,Nói chuyện mất dạy quá.,0.6518054711818695,high,send_to_review,Predicted as OFFENSIVE with confidence 0.77. Risk level is high; suggested action is send_to_review.
ex011,offensive,warn_or_review,"Bớt xàm đi, nghe mệt thật sự.","Bớt xàm đi, nghe mệt thật sự.",False,OFFENSIVE,0.9327934980392456,0.05607922002673149,0.9327934980392456,0.011127298697829247,,"Bớt xàm đi, nghe mệt thật sự.","Bớt xàm đi, nghe mệt thật sự.",0.6747606234252452,high,send_to_review,Predicted as OFFENSIVE with confidence 0.93. Risk level is high; suggested action is send_to_review.
ex012,offensive,warn_or_review,Đừng có làm trò rác rưởi ở đây.,Đừng có làm trò rác rưởi ở đây.,False,OFFENSIVE,0.4119744896888733,0.2469577044248581,0.4119744896888733,0.3410678505897522,,Đừng có làm trò rác rưởi ở đây.,Đừng có làm trò rác rưởi ở đây.,0.5937644076347351,medium,warn_user,Predicted as OFFENSIVE with confidence 0.41. Risk level is medium; suggested action is warn_user.
ex013,offensive,warn_or_review,Mày đúng là đồ điên.,Mày đúng là đồ điên.,False,HATE,0.9918752312660217,0.003186417045071721,0.0049384161829948425,0.9918752312660217,,Mày đúng là đồ điên.,Mày đúng là đồ điên.,1.0,critical,block_or_escalate,Predicted as HATE with confidence 0.99. Risk level is critical; suggested action is block_or_escalate.
ex014,offensive,warn_or_review,Cái kiểu nói chuyện này thật khốn.,Cái kiểu nói chuyện này thật khốn.,False,OFFENSIVE,0.9379597902297974,0.011051001958549023,0.9379597902297974,0.050989165902137756,,Cái kiểu nói chuyện này thật khốn.,Cái kiểu nói chuyện này thật khốn.,0.6791894829273224,high,send_to_review,Predicted as OFFENSIVE with confidence 0.94. Risk level is high; suggested action is send_to_review.
ex015,offensive,warn_or_review,Tao không muốn nghe mày nói nữa.,Tao không muốn nghe mày nói nữa.,False,CLEAN,0.7677726745605469,0.7677726745605469,0.03528269752860069,0.1969446837902069,,Tao không muốn nghe mày nói nữa.,Tao không muốn nghe mày nói nữa.,0.17072141751646996,low,allow,Predicted as CLEAN and no toxic span was found.
ex016,abusive,block_or_escalate,"Đồ chó chết, biến đi.","Đồ chó chết, biến đi.",False,HATE,0.9724221229553223,0.004261805675923824,0.02331606112420559,0.9724221229553223,,"Đồ chó chết, biến đi.","Đồ chó chết, biến đi.",1.0,critical,block_or_escalate,Predicted as HATE with confidence 0.97. Risk level is critical; suggested action is block_or_escalate.
