phrase_norm,count,phrase_len,n_words,source_split
nó,459,2,1,train
đéo,255,3,1,train
thằng,214,5,1,train
chửi,178,4,1,train
mày,147,3,1,train
con,142,3,1,train
ngu,138,3,1,train
tao,135,3,1,train
đm,118,2,1,train
vl,107,2,1,train
chết,98,4,1,train
cc,91,2,1,train
bọn,88,3,1,train
dm,77,2,1,train
mẹ,72,2,1,train
no,63,2,1,train
lồn,62,3,1,train
sủa,52,3,1,train
chúng nó,48,8,2,train
lol,44,3,1,train
chó,44,3,1,train
vcl,42,3,1,train
may,36,3,1,train
lũ,34,2,1,train
chúng mày,32,9,2,train
éo,30,2,1,train
phản động,28,9,2,train
nó,28,3,1,train
chui,26,4,1,train
cl,26,2,1,train
địt mẹ,24,6,2,train
xạo lồn,24,7,2,train
má,23,2,1,train
lon,23,3,1,train
tụi nó,23,6,2,train
đcm,21,3,1,train
óc chó,21,6,2,train
khùng,20,5,1,train
con chó,20,7,2,train
ỉa,19,2,1,train
bố,19,2,1,train
chúng,19,5,1,train
dell,18,4,1,train
nhục,18,4,1,train
khẩu nghiệp,17,11,2,train
cướp,17,4,1,train
khung,17,5,1,train
loz,17,3,1,train
méo,16,3,1,train
xl,16,2,1,train
giết,16,4,1,train
clm,16,3,1,train
đánh,16,4,1,train
vãi,16,3,1,train
cứt,16,3,1,train
bê đê,15,5,2,train
cmn,15,3,1,train
mất dạy,15,7,2,train
tù,15,2,1,train
cmnr,14,4,1,train
xấu,14,3,1,train
đái,14,3,1,train
bắn,14,3,1,train
tham nhũng,14,10,2,train
mồm,14,3,1,train
cặc,14,3,1,train
nứng,13,4,1,train
chết mẹ,13,7,2,train
chả,13,3,1,train
điên,13,4,1,train
trẻ trâu,12,8,2,train
con mẹ,12,6,2,train
vkl,12,3,1,train
thối nát,12,8,2,train
dơ,12,2,1,train
xạo lol,12,7,2,train
xạo,12,3,1,train
đứa,12,3,1,train
cu,12,2,1,train
thằng chó,11,9,2,train
vc,11,2,1,train
thằng ngu,11,9,2,train
dkm,11,3,1,train
máu lồn,11,7,2,train
qq,11,2,1,train
con bóng,11,8,2,train
loại,11,4,1,train
bọn nó,11,6,2,train
thằng,11,6,1,train
cút,10,3,1,train
đkm,10,3,1,train
mỏ,10,2,1,train
địt,10,3,1,train
cm,10,2,1,train
tụi,10,3,1,train
bán nước,10,8,2,train
tụi bây,10,7,2,train
xàm,10,3,1,train
đmm,9,3,1,train
xàm lồn,9,7,2,train
con bò,9,6,2,train
thần kinh,9,9,2,train
deo,9,3,1,train
láo,9,3,1,train
cắn,9,3,1,train
vcc,9,3,1,train
quần què,9,8,2,train
tâm thần,9,8,2,train
tao lao,9,7,2,train
đb,9,2,1,train
vãi lồn,8,7,2,train
lũ chó,8,6,2,train
trung cộng,8,10,2,train
xàm lol,8,7,2,train
bắc kỳ,8,6,2,train
khốn nạn,8,8,2,train
đập,8,3,1,train
đụ má,8,5,2,train
tởm,8,3,1,train
mẹ nó,8,5,2,train
ghét,8,4,1,train
bò đỏ,8,5,2,train
đít,8,3,1,train
con cặc,8,7,2,train
3///,8,4,1,train
đấm,7,3,1,train
dlv,7,3,1,train
bà,7,2,1,train
bóng,7,4,1,train
tay nhanh hơn não,7,17,4,train
tào lao,7,7,2,train
bố láo,7,6,2,train
ngáo,7,4,1,train
cho,7,3,1,train
buồi,7,4,1,train
đụ,7,2,1,train
cái,7,3,1,train
ghê,7,3,1,train
hại,7,3,1,train
ccc,7,3,1,train
vailon,7,6,1,train
dân đen,7,7,2,train
mat day,7,7,2,train
